Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
23-OCT-2024,1928.95,1957,1907.25,1940.2,34067116,435.39
24-OCT-2024,1941.4,1958.9,1931.45,1936.95,21299912,269.26
25-OCT-2024,1938.85,1942.45,1877,1894.35,32098623,382.11
28-OCT-2024,1898.55,1936.2,1892.35,1931.5,25488679,320.83
29-OCT-2024,1934.2,1942.3,1906.95,1937.6,26036428,339.99
30-OCT-2024,1939.2,1987.7,1935,1982.85,24593163,318.01
31-OCT-2024,1985.65,2024.85,1980.3,2019,22263104,421.98
01-NOV-2024,2029.7,2038.25,2020.8,2027.25,5818974,81.94
04-NOV-2024,2027.45,2027.9,1954.45,1983.55,20155896,560.49
05-NOV-2024,1974.6,1996.25,1961.75,1978.95,20518348,343.67
06-NOV-2024,1984.5,2013.8,1979.75,2006.85,17569187,269.18
07-NOV-2024,2012.65,2028.2,1999.7,2002.6,24885534,308.9
08-NOV-2024,2000.15,2000.15,1956.7,1960.7,18157175,204.96
11-NOV-2024,1954.3,1958.2,1931.3,1935.15,21683720,217.4
12-NOV-2024,1938.7,1962.3,1919.5,1923.5,14875290,272.79
13-NOV-2024,1913.9,1928.65,1873.95,1881.95,26781414,320.17
14-NOV-2024,1876.65,1928.35,1876.05,1924.4,36365799,449.85
18-NOV-2024,1919.45,1924.65,1892.4,1898.95,27319472,320.37
19-NOV-2024,1909.05,1979.4,1908.3,1945.4,79024333,887.94
21-NOV-2024,1942.45,1942.65,1892.9,1898.75,31185725,335.35
22-NOV-2024,1893.4,1902.85,1880.05,1892.6,29490861,340.46
25-NOV-2024,1920,1935.1,1910.9,1927.35,29908162,471.89
26-NOV-2024,1934.55,1948.05,1923.2,1943.1,24881868,350.67
27-NOV-2024,1945,1970.25,1932.45,1962.1,71064245,563.28
28-NOV-2024,1966.35,1993.1,1958.3,1968.35,50958713,371.91
29-NOV-2024,1994.75,2012.3,1982.85,1996.8,74885680,849.56
02-DEC-2024,2010.25,2022.05,1999.95,2017.25,43556940,488.71
03-DEC-2024,2029.5,2073.7,2021.05,2068.3,70743627,825.84
